id,Name,Age,CountryCode,Salary
79,Tamela Batchelor,88,450,1050853
80,Donald Buckles,19,482,9481285
81,Wm Absher,81,155,8787358
82,Paige Keener,24,35,2366807
83,Alvin Young,42,58,5440295
84,Tiffany Froelich,85,319,1681432
85,Graciela Alley,34,187,8170980
86,Barbara Harris,38,45,2638809
87,Mary Rhem,74,233,8215234
88,Wilma Green,86,248,8110345
89,Edna Barron,70,309,7246361
90,Todd Figueroa,58,170,9880974
91,Erlinda Sanzotta,54,208,3459051
92,Jeanine Barness,52,184,4339942
93,Andrew Garcia,75,203,5438483
94,Elma Kuhns,47,175,6119515
95,Pansy Marion,25,314,9111846
96,Christopher Latimore,99,380,8216922
97,Ida Ferra,56,167,9633634
98,Anne Harris,51,442,2046165
99,Sean Etheridge,59,269,3933781
100,Alva Gore,37,361,6269887
101,Jose Houston,18,378,4865564
102,Virgil Taylor,86,115,8370877
103,Antione Vogus,65,474,8856492
104,Jaime Barron,69,23,6539265
105,Michelle Calkins,69,401,5140724
106,Robert Ward,95,195,8246607
107,Jean Stanback,95,176,2896787
108,Michelle Mccormack,50,487,7040831
109,Ethyl Aguirre,85,141,9288495
110,Bruce Pelland,98,164,4958317
111,Gigi Jeffers,93,349,7876107
112,Lillian Davis,60,70,4966644
113,Alice Jones,53,371,8425850
114,Mike Wiser,90,386,3784215
115,Bruno Korsak,82,256,2293406
116,Juanita Walls,78,152,4382546
117,Marisol Putt,96,4,5966900
118,Rene Kirk,40,265,3883115
119,Victoria Rollins,91,457,3472503
120,Brian Driver,37,390,7736155
121,Henry Jacques,74,370,918240
122,Patty Aguero,30,201,7372738
123,Armand Casey,90,271,214094
124,Susan Bobb,48,451,896047
125,Robert Ervin,36,16,4250451
126,Roger Vogel,76,455,4010979
127,Lance Dillard,35,478,8667529
128,John Callahan,71,219,375299
129,Rita Leggett,31,455,2989212
130,Janet Amen,40,276,670667
131,Betty Bagaoisan,39,27,2861421
132,Mary Brown,48,282,8864854
133,Linda Bennett,20,221,1610569
134,Janet Jimenez,50,471,7391703
135,Cameron Cruz,81,284,8150130
136,Brian Ratliff,31,140,9723518
137,Larry Moldenhauer,96,415,6463143
138,Charles Mattox,51,76,1505893
139,Clement Jonson,61,101,5353493
140,John Hayes,99,406,2878258
141,Shannon Knox,98,415,1183030
142,Kevin Barron,58,163,1487239
143,Edward Mederios,50,244,1009575
144,Karen Thomas,19,196,6948957
145,Karen Finley,18,126,4496740
146,Benjamin Henley,18,405,7737298
147,Robert Horne,89,209,9255841
148,Edna Davis,72,427,2423871
149,Jose Murray,90,16,8368272
150,Jesse Trejo,91,222,1883852
151,Lucia Landolfi,72,347,5670012
152,Barbara Gray,40,500,8153218
153,Mercedes Vest,19,10,4221701
154,Deborah Amo,26,215,5472
155,Rita Mason,60,69,8315280
156,Robert Mora,52,115,6199038
157,Andrea Birdwell,43,173,9181038
158,Christa Smith,85,104,9679484
159,Norma Posthuma,25,5,1338481
160,Garry Lempke,81,211,8237770
161,Kevin Piazza,41,251,2037216
162,Alfredo Pless,26,404,2458650
163,Steven Lewis,58,188,2685700
164,Kelly Morgan,60,287,5753812
165,Rebecca Wininger,30,436,8470602
166,Elva Jeter,26,237,8147968
167,James Janeway,33,105,1503838
168,George Mathew,98,302,7893278
169,Ashley Garcia,58,172,1315557
170,Mark Goodman,44,22,4040633
171,Tamra Ellison,96,63,3251808
172,Jessie Austin,93,438,843441
173,Cassie Mccullough,46,312,1302181
174,Isabel Hockenberry,47,395,6911359
175,Mary Blockett,22,3,1804673
176,James Emmett,32,230,295040
177,Aaron Christopher,98,454,4227897
178,Jimmie Mineo,19,27,7706468
179,Paula Dalton,58,45,2111987
180,Kenneth Metz,84,294,6740220
181,Yuki Holliman,75,74,5399697
182,Alana Gloeckner,47,407,2456919
183,Karen Sweene,41,483,9542226
184,Jason Sherron,50,76,638709
185,Sherry Brady,41,278,522450
186,Lorene Wilson,98,154,6343251
187,Kathleen Davis,27,294,1151504
188,Frances Nichols,36,61,8998136
189,Loura Daniels,63,2,5512279
190,Karen Sullivan,38,122,7246694
191,Charles Hodgkins,91,347,1002144
192,Mary Baker,73,417,6341101
193,Amy Zachmann,57,276,6803928
194,Robert Glanton,59,50,9020913
195,Jodi Donson,40,133,7332454
196,Gretchen Henkes,40,356,4804798
197,Leonard Conrad,66,186,8260550
198,Stephen Pousson,76,423,4685807
199,Barbara Knowles,64,277,6075850
200,Mary Hogan,96,349,1881499
201,Shawna Pan,52,205,796982
202,Holly Nelson,84,226,9537507
203,Maria Schaefer,59,147,3755530
204,William Meyer,97,351,6046547
205,Susan Shirley,42,131,3908458
206,Patricia Coy,82,74,465534
207,Brenda Elliott,83,249,3902427
208,Stephanie Gardner,43,212,6037552
209,Wayne Harvey,24,281,4643774
210,Mary Ordonez,38,488,2589366
211,Kent Mathis,69,124,7460158
212,Richard Tharp,96,393,8572640
213,Karen Skursky,35,424,1584488
214,Reginald Perez,33,184,2416252
215,Roland Slaybaugh,93,40,7784097
216,Ericka Garrett,51,85,4124018
217,Ann Coleman,92,103,3212888
218,William Williams,34,291,3725662
219,Jessie Cunningham,91,459,9466019
220,Nilsa Queen,21,173,3752047
221,Andrew Davis,78,164,738941
222,Naomi Young,47,158,9144113
223,Howard Sanchez,78,481,7190118
224,Eric Call,75,309,7838890
225,George Wellard,96,247,333807
226,Salvador Murphy,23,267,3909277
227,Jane Dawson,23,179,5053929
228,Michelle Cook,31,172,5547704
229,James Patrick,99,144,7401676
230,Gabrielle Tyler,20,423,4480008
231,Evelyn Kellison,22,262,8746650
232,Arthur Fritch,59,120,6824256
233,Jess Robinson,87,440,6481935
234,Ralph Turman,81,473,7949562
235,William Hanan,93,317,3921503
236,Elsie Neal,95,29,9704932
237,Lena Castellanos,60,473,1935992
238,Daryl Kuns,56,422,5753719
239,Phyllis Ouellette,35,165,5774211
240,James Nesbit,80,189,8998115
241,Patricia Roach,54,326,1675669
242,Donald Johnson,92,321,4071493
243,Kimberley Schoen,88,491,3612228
244,Cheryl Cantey,84,297,2915624
245,Antoinette Lang,96,39,3475802
246,Christopher Mitchell,55,380,9231084
247,Victor Waller,29,369,1389903
248,Quinton Hang,64,88,7710547
249,In Whitis,28,163,7059621
250,Larry Taylor,75,401,70944
251,Tammie Gibson,45,235,1445620
252,Dan Welch,51,359,2879253
253,Jessica Hester,32,235,9825550
254,Mary Joseph,44,220,9113901
255,Charles Meadows,40,42,3721564
256,Judith Seamon,95,91,6537430
257,Billy Fabian,98,360,309810
258,Opal Holmes,77,170,8985749
259,Paul Dickson,52,216,9606619
260,Shameka Herrera,85,471,7343923
261,Sean Laforce,30,152,4518812
262,Holly Jones,34,473,5180003
263,Evelyn Brock,72,461,8845342
264,Sidney Siebert,42,246,1800929
265,Ronnie Fontaine,65,475,1155901
266,Ben Mauck,81,268,4043576
267,Carl Allen,97,162,8797826
268,Frank Alvarado,30,134,4344430
269,Deborah Tibbs,70,476,2323587
270,Louis Haag,45,392,5903828
271,Alden Campbell,24,77,204386
272,Robena Brown,78,446,70247
273,Michael Galloway,79,239,2209206
274,Felix Vinson,99,84,1638988
275,Raymond Wang,67,291,1411905
276,Karen Martin,75,92,4855630
277,Timmy Rodriguez,93,176,651108
278,Judy Hill,99,25,6050168
279,Elvia Munguia,94,136,4370353
280,John Palmer,27,293,4387248
281,Rose Orta,28,154,8682056
282,Marion Crawley,95,320,3739135
283,Jill Schmitke,24,304,3738650
284,Teresa James,76,222,7013199
285,Bobbie Ewy,62,46,2417922
286,Curtis Lado,100,401,9762191
287,Dennis Maxwell,95,175,8699267
288,John Cox,63,348,2567848
289,Ben Jacobo,89,309,4786466
290,Tamika Simpson,29,347,6169705
291,Barbara Bennett,37,396,6691410
292,Arthur Pasey,59,392,4784902
293,Linda Brown,73,90,9257371
294,Joy Dandy,18,156,7918126
295,Angelina Miller,71,463,1532584
296,John Rodriguez,59,248,8882483
297,Christopher Chin,61,454,8231696
298,Josiah Hamilton,47,206,7102899
299,Bruce Siler,77,49,4572564
300,Tonda Franklin,33,271,1772773
301,Francis Marrero,71,78,1331066
302,Sharon Moore,26,37,2752427
303,Mary Perrin,44,128,4263108
304,Carl Pearman,76,490,3399960
305,Andre Jones,21,307,1057848
306,Eloise Singh,99,79,4755876
307,John Cameron,29,461,8892081
308,Michael Loveless,32,84,4885359
309,Lloyd Huffman,45,6,9568706
310,Dorothy Davidson,63,225,2275596
311,Elvia Tucker,39,357,6796858
312,Juanita Randall,77,64,8213498
313,Alison Norman,39,443,7406264
314,Kimberly Howe,40,85,2500358
315,William Harlan,52,68,4508048
316,Anthony Perry,92,253,8112954
317,Roxane Grober,67,134,7690100
318,Thelma Daugherty,89,203,7166256
319,Daniel Hahn,78,164,89732
320,Sonia Priddy,57,69,6736596
321,Robert Tanguma,30,333,6829334
322,David Thompson,56,305,8781035
323,Evelyn Whittle,40,435,7924642
324,Tonya Clark,38,4,7517508
325,Terry Wethje,65,335,7416724
326,Richard Graham,32,183,6152543
327,Joshua Wilson,88,220,9127011
328,Elisabeth Nance,59,60,8221700
329,Reuben Munger,66,56,7514841
330,Diane Wilson,60,285,35558
331,Donald Beauchamp,82,188,7507656
332,Horace Watson,84,495,603416
333,Theodore Pressley,38,425,3761412
334,Juan Gutierrez,23,133,9880160
335,Bonnie Gilbert,54,455,6955032
336,Hellen Torres,51,43,5146711
337,Shirley Schrack,93,66,9086459
338,Willis Leutwiler,88,437,1850040
339,Glenn Phillips,21,155,4923671
340,Christine Stroman,49,481,6422321
341,Edwin Nolan,34,371,2564404
342,Thomas Lewis,95,110,9657621
343,William Mangum,20,308,9318034
344,Andrew Aguirre,56,120,9615118
345,Robert Benford,29,193,8177458
346,James Pressly,60,201,3583441
347,John Collett,60,3,6997017
348,Felice Francis,98,156,329956
349,Renita Denes,18,81,1302462
350,Lisa Pham,45,413,6259766
351,Patricia Clay,56,182,5848884
352,Steven Siu,98,11,8481873
353,James Ho,52,400,5953120
354,James Argueta,27,462,2209858
355,Simone Dasher,97,491,3251988
356,Wallace Kimball,84,382,3114937
357,David Johnson,73,349,2721500
358,Tamela Hunter,36,385,7753343
359,Maria Fleming,37,226,135516
360,William Sander,64,2,5820433
361,Robert Wallace,53,487,4170146
362,Douglas Posadas,72,281,4879196
363,Gale Cambridge,86,363,2407597
364,William Davidson,18,133,4429383
365,Joanne Roberts,48,21,5492140
366,Bobby Thorson,28,306,9469018
367,Carolyn Richburg,89,86,1745040
368,Susan Johnson,41,418,5881334
369,Morris Morris,23,352,9840111
370,Kristen Lemieux,86,460,1934079
371,Stephen Reder,25,221,4143804
372,Bobby Havens,96,476,8505332
373,Kenneth Bowman,91,364,4875211
374,Aubrey Roth,69,216,1444074
375,Sean Jones,66,214,9992028
376,Ann Pearson,33,324,8852223
377,Kimberly Lovell,34,290,3574519
378,Ann Frausto,29,264,6889035
379,Margaret Evans,100,434,1349113
380,Yolanda Tinoco,82,300,6501702
381,Raphael Hamelin,36,46,5075723
382,David Blackshire,98,70,6081677
383,Alice Britten,92,426,2336671
384,Craig Medellin,69,454,8493193
385,Arlene Maditz,54,105,8978491
386,Jean Hunt,79,357,1532571
387,Christopher Mitchell,23,53,727284
388,James Perez,25,21,9403445
389,Effie Thornton,42,270,3531911
390,Annette Dean,94,133,8747578
391,Dorothy Rand,51,343,9841507
392,Evelyn Edwards,98,248,668637
393,Donald Vigor,67,408,3904520
394,Adolph Raber,62,473,6310960
395,James Blaize,70,250,7898082
396,John Brock,75,358,3521003
397,Deirdre Barth,60,388,7477191
398,Ronnie Morin,86,10,6557842
399,Tonya Varillas,71,378,3804298
400,Bruno Tyler,21,465,9399281
401,Sandra Hillis,71,86,1740773
402,Eugene Sklar,25,188,52759
403,Josie Cole,20,69,1075804
404,Nicole Vayner,94,411,3616946
405,Karen Hill,44,390,8527141
406,Felicia Norton,42,161,9452317
407,Noah Jones,37,12,630927
408,Ingrid Scherrer,20,138,7217215
409,Jose Whalen,79,67,9726197
410,Georgia Moore,46,221,7328251
411,Cecilia Welter,64,256,4660368
412,Jerry Autry,95,267,8411752
413,Robert Devaney,67,247,1884606
414,Helen Robertson,53,65,9787747
415,Cody Gillman,93,106,6473875
416,Michael Dixon,66,292,5501345
417,Marlon Tanner,22,14,4727210
418,William Hurd,21,433,6226419
419,Katherine Reza,57,214,6379630
420,Michael Raef,79,51,8288072
421,Steven Scarpello,19,461,8025850
422,Dianne Mccoy,25,153,6424568
423,Paul Eversoll,33,362,1021865
424,Ronald Ridge,53,302,5085906
425,Martha Quale,49,342,3993504
426,Aretha Kimes,76,180,3616060
427,Darius Comstock,69,165,4394905
428,Nathanial French,97,246,8468561
429,Evelyn Hiatt,72,286,4450944
430,Ingeborg Stepnowski,50,55,4571292
431,Vincent Coleman,37,74,7758821
432,Kathy Pham,28,331,6475439
433,Oscar Ortiz,51,238,218019
434,Edward Booth,58,115,3672448
435,William Kimpel,29,332,9595907
436,Terry Clemon,20,343,2395290
437,Mary Wade,31,51,3276547
438,Robin Reid,84,118,3993467
439,Vernon Sloat,89,79,5201768
440,Charles Nagase,32,397,3069723
441,Eric Brown,62,326,8267727
442,Dovie Schiller,37,273,4133137
443,Joel Duncan,50,499,6183828
444,Marsha Chang,77,73,4620960
445,Kathleen Mendez,48,283,1776037
446,Deborah Hutchison,65,441,8599803
447,Stephen Clark,40,282,411218
448,Joseph Ferrell,74,315,3042243
449,Gloria Poole,30,355,9420219
450,Candice Darby,27,466,3648076
451,Patricia Drewry,89,460,2853527
452,Cecilia Xaimoungkhoun,49,494,8615524
453,Ruth Peters,47,48,3564525
454,Daniel Stewart,22,238,6588962
455,Kenneth Hernadez,96,281,4623536
456,Amy Mayne,43,280,2218532
457,Richard Gates,82,250,3992014
458,Joseph Tenney,27,140,653456
459,Bradley Iyo,50,315,2272834
460,Dorothy Mack,74,316,9703446
461,Alec Lenoir,60,490,5190763
462,Maribel Twitty,85,115,5564018
463,Benjamin Mitchell,72,96,6134839
464,Nena Lewis,90,311,8304653
465,Casimira Chelton,18,313,901809
466,Benny May,38,198,6847851
467,Roberta Carroll,94,23,3624614
468,Michael Rodriguez,87,178,2146070
469,Shirley Penatac,32,273,2287464
470,Barbara Sammons,35,249,4814247
471,Nancy Massie,62,183,6007786
472,Quinton Mckinney,90,411,9134431
473,Raymond Rainey,51,206,5748055
474,Manuel Vasquez,99,35,5361705
475,Julie Hanlin,26,60,8840155
476,Victor Franck,59,202,4964720
477,Kelly Deal,38,163,400284
478,Lee Brown,76,36,4712242
479,Pedro Jones,83,472,2408673
480,Michael Blair,71,136,8591372
481,Lisa Leung,87,382,3805574
482,Melanie Scovel,28,45,7909361
483,Susan Tyree,42,390,8881626
484,Denise Menden,89,238,9355890
485,Carol Ahmad,90,175,6137165
486,Rosario Blunt,38,170,9220386
487,Lola Romero,64,284,6074113
488,Lindsey Garcia,94,277,5973010
489,Douglass Carpenter,52,415,9885633
490,Sofia Graham,72,237,5703167
491,Allie Howard,56,307,900358
492,Robert King,45,304,8336722
493,Robert Kent,62,337,4537409
494,Bobby Epstein,56,289,1333487
495,Steven Porter,85,431,8530241
496,Beverly Alston,81,456,3629428
497,Eldon Carnes,94,242,1975422
498,Sheri Helmes,62,409,1459467
499,Carol Walling,74,84,3748214
500,Jean Lopez,71,457,8904533
501,Lisa Gable,18,43,3979418
502,Marie Murry,97,2,3202261
503,Jay Vazquez,87,83,5991907
504,Isabel Moore,21,168,7247916
505,Heath Robinson,19,384,1792928
506,Michelle Tribble,76,230,470431
507,Iva Burden,85,272,555774
508,Laurie Wilson,94,399,9974407
509,Jay Brewer,85,19,4273172
510,Lena Taylor,65,198,8389265
511,Natasha Gross,79,197,5894551
512,John Lange,34,82,9896789
513,Brian Caudill,20,307,8597442
514,James Clayton,68,362,1282670
515,Debra Hall,53,121,9183279
516,Debra Welch,72,318,3000496
517,Linda Shockey,27,188,2258101
518,Osvaldo Arguello,55,239,2745546
519,Terese Clark,43,459,604310
520,Elyse Cater,84,395,6878599
521,Christopher Edwards,49,460,1715672
522,Rosemary Dowling,72,397,4121359
523,Rhoda Pride,70,439,3603130
524,Susan Richardson,80,154,6263718
525,Angel Martin,89,238,9716604
526,Rosemary Frey,27,257,2980977
527,Judith Bugbee,59,440,362502
528,Moses Gleason,51,29,9079835
529,George Sanchez,61,263,6384674
530,Norman Harris,21,151,3541139
531,Charles Seedorf,24,2,9407412
532,Scott Masters,18,398,4865113
533,Brenda Brown,22,131,5369156
534,James Numbers,39,70,3131223
535,Donna Thurston,96,500,1679910
536,Brenda Stansel,55,272,3301002
537,Maria Strickland,40,454,1660723
538,George Miller,68,111,989175
539,Coral Bunn,46,472,4571263
540,Lauralee Krause,21,228,7567729
541,Dorothy Best,32,447,3902999
542,Harry Wells,32,323,6511718
543,Charles Roger,97,115,8253175
544,Marie Cruz,25,301,2598133
545,Sue Saran,70,490,2417559
546,Robert Scott,94,18,7147598
547,Robert Balk,60,85,3576033
548,Willie Strassburg,73,196,2515599
549,Tiffany Jackson,37,186,1358414
550,Karen Meldrum,96,171,7476255
551,Matthew Mccray,92,498,5187882
552,Kennith Pierce,64,283,2629531
553,Jillian Britt,44,352,5723597
554,Mattie Gange,89,40,1622319
555,Danielle Johnson,77,499,9281852
556,Crystal Shackford,22,427,3864477
557,Hattie Lopez,49,34,8024417
558,Beverly Velazquez,57,93,9316532
559,Linda Rodgers,98,327,6646586
560,Steven Burrows,21,466,2612877
561,Josephine Iribarren,50,171,1434822
562,Donald Mcclung,54,463,7970242
563,Nelson Huffman,45,415,6423497
564,Kathy Golden,64,389,716477
565,William Lafontant,78,216,237167
566,Miguel Lorenz,79,465,8836859
567,Daniel Ridgeway,52,78,8060530
568,Jonathan Falco,21,252,7291059
569,Douglas Whitmer,43,393,2574347
570,Larry Starks,51,367,6626585
571,Rocco Vanorden,41,342,6415187
572,Maria Cornell,26,495,2321369
573,Meghan Leake,52,187,6713539
574,Danna Holm,100,373,4541371
575,Mario Mayle,64,456,4665172
576,Yvonne Patenaude,91,163,6629625
577,Kevin Dettinger,52,294,6580975
578,Walter Mcgee,35,440,6810639
579,Horace Reddish,40,16,7074373
580,Donald Markham,85,54,2200989
581,Joe Dini,46,116,1374531
582,Hugo Pitre,38,467,364133
583,Deborah Hudson,71,99,5203188
584,Holly Collins,18,351,7877215
585,Brandy Oswalt,38,454,916639
586,Curtis Oliver,27,471,3878121
587,Essie Smart,75,137,731038
588,James Miller,99,166,4432445
589,Kathy Hoff,91,191,3724159
590,Gertrude Booker,67,21,9153154
591,Mary Randall,50,164,4297954
592,Kimberley Smith,27,242,7506832
593,Don Sandahl,80,69,9338478
594,Margareta Ver,87,500,7888562
595,Kristin Coleman,97,172,3971730
596,Linda Sipe,86,126,3220814
597,Ruby Delong,42,315,6976613
598,Brianne Schwarz,99,404,2919820
599,Frank Duffy,45,435,5064101
600,Kathy Johnson,38,16,7613274
601,Ernestine Kocieda,43,74,4391697
602,Eduardo Mcdonald,63,177,3124774
603,Jeanette Patterson,87,161,8618332
604,Mark Drakes,25,249,4422241
605,Lawrence Gonzalez,64,144,6570632
606,Sandra Gruwell,97,476,2051256
607,Denise Watts,70,199,7419895
608,Oliver Jones,67,178,1965060
609,Jesse Inman,85,368,1284491
610,Alfred Sykes,47,397,4072053
611,Sandy Erickson,54,464,1535929
612,William Farmer,32,485,4762294
613,Mark Fisher,22,5,6319680
614,Lisa Blankenship,52,440,8633707
615,Frederick Zimmerman,92,202,6006870
616,Paul Russell,72,449,569372
617,Rufus Clarke,26,85,6287514
618,Christopher Mcgibney,24,315,6353269
619,Sterling Jones,50,45,9969665
620,Michelle Olds,74,34,8070763
621,Jerome Haddad,69,406,4138983
622,Vicky Phillips,74,292,8718141
623,Bonnie Spence,37,389,8231427
624,Frank Garcia,61,86,5444070
625,Monique Turner,54,224,7217906
626,Jocelyn Steinborn,91,365,6009457
627,Edward Harris,83,17,2898266
628,Jason Schwieger,42,61,9021373
629,Anna Bennett,22,278,5542517
630,Emil Green,32,439,6553777
631,Ralph Duncan,48,419,2996174
632,Charles Williams,85,252,4093834
633,Matthew Johnson,19,288,9723339
634,Manuel Rea,61,241,5731158
635,Tina Scott,87,141,3027180
636,Francisco Bickley,52,343,982021
637,Edna Grossman,93,72,9560809
638,Melody Bennett,19,270,6711070
639,Mary White,30,421,281179
640,Debra Dominguez,52,474,3657831
641,Virginia Hulett,32,22,6887833
642,Andrea Shackleford,50,475,8538848
643,Herman Donovan,72,286,7536645
644,Kevin Posner,74,106,8630811
645,David Lozoya,78,79,7811134
646,John Lyons,32,412,7486291
647,Harley Vail,50,354,533551
648,Sharon Watson,22,10,7304133
649,Patricia Best,43,131,5501874
650,Lorraine Tesch,74,249,8041723
651,Beth Gayden,84,110,4417356
652,James Blakely,34,184,5969631
653,Brandi Garcia,21,257,1513823
654,Ernesto Kilbourn,77,299,2063641
655,Deborah Profit,81,44,505245
656,Brenda Whitehead,71,7,510323
657,Monica Adams,82,432,9957454
658,Katherine Holt,66,473,415219
659,Jeffrey Kirkland,89,149,176350
660,Richard Gramm,78,246,4556530
661,Lorene Erb,29,101,8812235
662,Douglas Green,24,482,8864125
663,Ernest Fitch,73,428,543114
664,Carolyn Palacio,74,447,5241105
665,Keith Hardage,58,260,3729015
666,Wendy Evans,33,271,5074182
667,Linda Calabrese,44,166,2247503
668,Glenn Walker,73,23,307841
669,Melanie Hodges,29,290,4554310
670,Steven Howes,96,482,9876974
671,Virgie Oliveira,100,355,5380427
672,Arielle Nagel,94,314,1234579
673,Connie Balowski,25,369,8132239
674,John Orenstein,27,476,7054542
675,Mickey Harmon,78,149,3802144
676,Andre Girard,44,99,9872644
677,Carl Hamberg,72,215,2485130
678,Gayle Underwood,28,32,8859432
679,Byron Gentry,33,151,2467634
680,Debra Muney,28,135,5311352
681,Clara Northern,100,273,4325484
682,Robert Cook,55,239,4561097
683,Sandra Adams,24,458,6824964
684,Helen Johnson,25,467,3029147
685,So Dearth,92,454,5071637
686,William Pavia,51,447,118823
687,Ronald Leona,96,71,1737721
688,Fausto Mcdermott,77,429,6240303
689,Robert Martin,51,176,1733239
690,David Robinson,95,477,2950354
691,David Kelly,47,28,401183
692,Dana Cash,27,154,4563702
693,Laurie Lett,30,362,7439764
694,Alfred Garner,100,117,8264579
695,Judy Graham,42,200,2891298
696,Jacob Dobey,98,206,8532294
697,Daniel Padilla,25,414,6210120
698,Claire Tango,21,493,4537055
699,Jeanette Contreras,91,342,3369857
700,Edith Hindman,33,9,1324282
701,Crystal Speers,51,248,2621736
702,Della Kot,63,34,424697
703,Michael Muirhead,57,88,2224301
704,Dexter Howe,94,211,2105040
705,Letitia Jones,24,391,9608086
706,Darla Smith,27,394,2003284
707,Emily Sager,75,172,7175688
708,Connie Kaiser,68,326,1903236
709,Steve Warren,74,236,9355097
710,James Castillo,88,482,6406805
711,Agnes Jones,53,16,560654
712,Sherri Baksh,73,31,4098042
713,Joseph Terry,53,8,9200032
714,Felicitas Phillips,95,106,1636297
715,Roxanne Barnes,39,375,9141490
716,Scott Campbell,78,377,8581182
717,Lynne Debnam,77,287,9476115
718,Kristin Doyle,32,212,3635655
719,Isabel Sumner,88,171,9830309
720,Nellie Arreola,60,431,6170080
721,Josefina Reigle,28,187,2554715
722,Lisa Schaaf,90,75,9078468
723,Jeffrey Shirley,71,171,3146462
724,Marcella Sturgis,50,294,3658945
725,James Montgomery,65,383,4150929
726,Donald Mccrary,91,431,8254984
727,Brandon Mccommons,96,147,440481
728,Carol Newman,48,372,7302047
729,Edward Johnson,40,351,5674886
730,Catherine Eggers,22,241,5627897
731,Rebecca Albero,85,330,9119692
732,Jesus Korsak,99,284,4603294
733,Michelle Bean,91,119,4653183
734,Thelma Smith,67,201,7054600
735,Georgia Colbert,66,86,5030859
736,Ronald Dromgoole,28,266,713485
737,Sharon Jones,40,212,9378601
738,Dean Ash,74,196,1802903
739,Thomas Arya,94,323,7320479
740,John Ehrlich,31,45,9745350
741,Rebeca Leach,53,85,9813517
742,Clyde Pyle,49,39,141876
743,Deborah Davis,87,430,3355408
744,Ralph Walker,29,350,8445030
745,Ralph Parsons,50,22,1573257
746,Nicki Palmer,38,239,5881854
747,Bradley Mcclelland,20,143,474063
748,Emily Schwartz,78,254,2724362
749,Lance Tully,38,334,3014537
750,Allan Dow,98,87,9566583
751,Alexandra Burke,32,489,6123803
752,Denver Thornton,88,105,1606066
753,Edward Morrissey,60,95,1496342
754,Jasmine Olaughlin,77,83,131957
755,Minnie Jones,59,485,3082333
756,Natalie Dziedzic,88,14,2637711
757,Donna Booher,52,429,1963711
758,Nancy Groover,53,342,2080561
759,Susan Fehlinger,77,456,8596213
760,Santos Blackshear,81,17,8529270
761,Glen Scott,90,320,5177338
762,Rose Bennett,71,151,9880737
763,Janice Rafferty,56,369,8562404
764,James Sorenson,23,429,8190602
765,Wendy Scott,90,28,6806260
